!!! (Chk Chk Chk)	Wednesday June 30, 2010 at 11:59 p.m.	Club Soda	!!! (Chk Chk Chk)
Aces of Dixieland	Sunday July 9, 2000 at 3 p.m.	Terrasse du Casino de Montréal 	
Aces of Dixieland	Sunday July 9, 2000 at 5 p.m.	Terrasse du Casino de Montréal 	
Aces of Dixieland	Sunday July 1, 2001 at 1 p.m.	Terrasse Grand Marnier	Aces of Dixieland
Aces of Dixieland	Thursday July 5, 2001 at 12 p.m.	Terrasse Grand Marnier	
Aces of Dixieland	Thursday July 5, 2001 at 2 p.m.	La Louisiane / Radio-Canada Stage	
Aces of Dixieland	Friday July 6, 2001 at 1 p.m.	Banque Nationale Stage	
Aces of Dixieland	Saturday July 7, 2001 at 3 p.m.	Banque Nationale Stage	
Aces of Dixieland	Saturday July 7, 2001 at 7 p.m.	Terrasse Grand Marnier	
Aces of Dixieland	Sunday July 8, 2001 at 1 p.m.	Terrasse Grand Marnier	
Aces of Dixieland	Wednesday July 3, 2002 at 7 p.m.	Terrasse Grand Marnier	Aces of Dixieland
Aces of Dixieland	Thursday July 4, 2002 at 1 p.m.	Terrasse Grand Marnier	
Aces of Dixieland	Thursday July 4, 2002 at 4 p.m.	La Louisiane / Radio-Canada Stage	
Aces of Dixieland	Friday July 5, 2002 at 7 p.m.	Terrasse Grand Marnier	
Aces of Dixieland	Saturday July 6, 2002 at 12 p.m.	Terrasse Grand Marnier	
Aces of Dixieland	Saturday July 6, 2002 at 2 p.m.	Banque Nationale Stage	
Aces of Dixieland	Sunday July 7, 2002 at 6 p.m.	Banque Nationale Stage	
Aces of Dixieland	Wednesday July 2, 2003 at 7 p.m.	Terrasse Grand Marnier	Aces of Dixieland
Aces of Dixieland	Thursday July 3, 2003 at 12 p.m.	Terrasse Grand Marnier	
Aces of Dixieland	Thursday July 3, 2003 at 2 p.m.	Scène Banque Nationale	
Aces of Dixieland	Friday July 4, 2003 at 12 p.m.	Terrasse Grand Marnier	
Aces of Dixieland	Friday July 4, 2003 at 7 p.m.	Terrasse Grand Marnier	
Aces of Dixieland	Saturday July 5, 2003 at 5 p.m.	Scène Banque Nationale	
Aces of Dixieland	Saturday July 5, 2003 at 6:15 p.m.	Scène Banque Nationale	
Aces of Dixieland	Tuesday July 6, 2004 at 12 p.m.	Terrasse Grand Marnier Stage	Aces of Dixieland
Aces of Dixieland	Wednesday July 7, 2004 at 7 p.m.	Terrasse Grand Marnier Stage	
Aces of Dixieland	Thursday July 8, 2004 at 1 p.m.	Terrasse Grand Marnier Stage	
Aces of Dixieland	Thursday July 8, 2004 at 4 p.m.	Bell Stage	
Aces of Dixieland	Friday July 9, 2004 at 12 p.m.	Terrasse Grand Marnier Stage	
Aces of Dixieland	Wednesday July 6, 2005 at 12 p.m.	Terrasse Amarula Stage	Aces of Dixieland
Aces of Dixieland	Thursday July 7, 2005 at 1 p.m.	Terrasse Amarula Stage	
Aces of Dixieland	Thursday July 7, 2005 at 4 p.m.	Bell-Samsung Stage	
Aces of Dixieland	Friday July 8, 2005 at 5 p.m.	CBC Television Stage	
Aces of Dixieland	Friday July 8, 2005 at 6:15 p.m.	CBC Television Stage	
Aces of Dixieland	Saturday July 9, 2005 at 5 p.m.	CBC Television Stage	
Aces of Dixieland	Saturday July 9, 2005 at 6:15 p.m.	CBC Television Stage	
Aces of Dixieland	Wednesday July 5, 2006 at 12 p.m.	Terrasse Amarula Stage	Aces of Dixieland
Aces of Dixieland	Monday July 2, 2007 at 2 p.m.	Terrasse Amarula	Aces Of Dixieland
Acoustic News	Monday July 3, 1989 at 8 p.m.	Scène Alcan	Acoustic News
Acoustic News	Monday July 3, 1989 at 10 p.m.	Scène Alcan	
Acoustix	Wednesday July 2, 2003 at 4 p.m.	Du Maurier/Radio Canada Stage	Acoustix
Ad Lib	Friday June 27, 1986 at 8:30 p.m.	Air Canada Stage	Denis Fréchette / Ad Lib
Ad Lib	Friday July 3, 1987 at 8:30 p.m.	Scène Alcan	Denis Fréchette / Ad Lib
Ad Lib	Tuesday July 4, 1989 at 9 p.m.	Chapiteau Yogourt Liberté	Denis Fréchette Ad Lib
Ad Lib	Tuesday July 4, 1989 at 11 p.m.	Chapiteau Yogourt Liberté	
Ada Montellanico	Saturday July 8, 2006 at 7:30 p.m.	Cinquième Salle - PdA	Enrico Pieranunzi &amp; Ada Montellanico present Danza di una ninfa
Adam Broughton	Wednesday July 6, 1994 at 7 p.m.	Place du Festival 	Panache à Trois
Adam Broughton	Thursday July 6, 2000 at 12 p.m.	Place du Complexe Desjardins 	Panache featuring Adam Broughton
Adam Broughton	Sunday February 4, 2001 at 8 p.m.	Spectrum de Montréal	Susie Arioli Swing Band 
Adam Broughton	Saturday July 6, 2002 at 8 p.m.	Banque Nationale Stage	Panache featuring Adam Broughton
Adam Broughton	Saturday July 6, 2002 at 10 p.m.	Banque Nationale Stage	
Adam Cohen	Thursday June 26, 2008 at 9:30 p.m.	Scène General Motors	Hommage à Leonard Cohen
Adam Karch	Saturday October 1, 2011 at 9 p.m.	Le Balmoral (Maison du Festival Rio Tinto Alcan)	Adam Karch 
Adam Karch	Thursday July 9, 1998 at 7 p.m.	Scène Labatt Blues 	Bob Harrisson Blues Band 
Adam Karch	Thursday July 9, 1998 at 11 p.m.	Scène Labatt Blues 	
Adam Karch	Friday July 9, 1999 at 7 p.m.	Scène Labatt Blues 	Adam Karch Band 
Adam Karch	Friday July 9, 1999 at 11 p.m.	Scène Labatt Blues 	
Adam Karch	Sunday July 6, 2008 at 7 p.m.	Scène Loto-Québec	Adam Karch
Adam Karch	Wednesday June 29, 2011 at 9 p.m.	Le Balmoral (Maison du Festival Rio Tinto Alcan)	Adam Karch
Adam Karch	Wednesday June 29, 2011 at 10:30 p.m.	Le Balmoral (Maison du Festival Rio Tinto Alcan)	
Adam Karch	Wednesday June 29, 2011 at 11:59 p.m.	Le Balmoral (Maison du Festival Rio Tinto Alcan)	
Adam Karch	Thursday June 30, 2011 at 9 p.m.	Le Balmoral (Maison du Festival Rio Tinto Alcan)	
Adam Karch	Thursday June 30, 2011 at 10:30 p.m.	Le Balmoral (Maison du Festival Rio Tinto Alcan)	
Adam Karch	Thursday June 30, 2011 at 11:59 p.m.	Le Balmoral (Maison du Festival Rio Tinto Alcan)	
Adam Karch	Friday July 1, 2011 at 9 p.m.	Le Balmoral (Maison du Festival Rio Tinto Alcan)	
Adam Karch	Friday July 1, 2011 at 10:30 p.m.	Le Balmoral (Maison du Festival Rio Tinto Alcan)	
Adam Karch	Friday July 1, 2011 at 11:59 p.m.	Le Balmoral (Maison du Festival Rio Tinto Alcan)	
Adam Makowicz	Saturday June 29, 1991 at 4:30 p.m.	Église St-Jean l'Évangéliste 	Adam Makowicz 
Adam Makowicz	Wednesday July 1, 1998 at 8:30 p.m.	Salle Wilfrid-Pelletier - PdA	Gershwin Tribute 
Adam Rogers	Saturday June 30, 2001 at 7:30 p.m.	Monument National	Michael Brecker with Larry Goldings, Bill Stewart &amp; Adam Rogers
Adam Rudolph	Saturday July 4, 1998 at 6 p.m.	Théâtre Maisonneuve - PdA	Pharoah Sanders "Spirits" avec Hamid Drake et Yusef Lateef avec Adam Rudolph Duo 
Adam Rudolph	Friday June 25, 2010 at 8 p.m.	Théâtre Jean-Duceppe - PdA 	Bitches Brew Revisited with Vernon Reid, Graham Haynes, DJ Logic, Melvin Gibbs, James Hurt, JT Lewis, Adam Rudolph and Antoine Roney
Adam Rudolph	Friday July 2, 2010 at 10:30 p.m.	Gesù, Centre de créativité	Adam Rudolph's <em>Moving Pictures</em>
