!!! (Chk Chk Chk)	Wednesday June 30, 2010 at 11:59 p.m.	Club Soda	!!! (Chk Chk Chk)
Streetnix	Friday July 2, 1999 at 2 p.m.	Scène Air Transat  - Radio-Canada 	
Streetnix	Friday July 2, 1999 at 5 p.m.	Terrasse Grand Marnier 	
Streetnix	Saturday July 3, 1999 at 12 p.m.	Terrasse Grand Marnier 	
Streetnix	Saturday July 3, 1999 at 3 p.m.	Chapiteau du Casino de Montréal	
Streetnix	Sunday July 4, 1999 at 1 p.m.	Chapiteau du Casino de Montréal	
Streetnix	Sunday July 4, 1999 at 3 p.m.	Terrasse Grand Marnier 	
Streetnix	Monday July 5, 1999 at 1 p.m.	Terrasse Grand Marnier 	
Streetnix	Monday July 5, 1999 at 5 p.m.	Chapiteau du Casino de Montréal	
Streetnix	Tuesday July 6, 1999 at 2 p.m.	Scène Air Transat  - Radio-Canada 	
Streetnix	Tuesday July 6, 1999 at 5 p.m.	Terrasse Grand Marnier 	
Streetnix	Tuesday July 4, 2000 at 3 p.m.	Terrasse du Casino de Montréal 	Streetnix 
Streetnix	Wednesday July 5, 2000 at 5 p.m.	Terrasse du Casino de Montréal 	
Streetnix	Thursday July 6, 2000 at 5 p.m.	Terrasse du Casino de Montréal 	
Streetnix	Friday July 7, 2000 at 2 p.m.	Air Transat-Radio-Canada Stage	
Streetnix	Friday July 7, 2000 at 5 p.m.	Terrasse du Casino de Montréal 	
Streetnix	Saturday July 8, 2000 at 12 p.m.	Terrasse Grand Marnier 	
Streetnix	Saturday July 8, 2000 at 3 p.m.	Terrasse du Casino de Montréal 	
Streetnix	Sunday July 9, 2000 at 1 p.m.	Terrasse Grand Marnier 	
Streetnix	Thursday June 28, 2001 at 12 p.m.	Terrasse Grand Marnier	Streetnix
Streetnix	Thursday June 28, 2001 at 2 p.m.	La Louisiane / Radio-Canada Stage	
Streetnix	Saturday June 30, 2001 at 1 p.m.	Terrasse Grand Marnier	
Streetnix	Sunday July 1, 2001 at 3 p.m.	Banque Nationale Stage	
Streetnix	Sunday July 1, 2001 at 7 p.m.	Terrasse Grand Marnier	
Streetnix	Monday July 2, 2001 at 1 p.m.	Banque Nationale Stage	
Streetnix	Wednesday July 3, 2002 at 5 p.m.	Banque Nationale Stage	Streetnix
Streetnix	Wednesday July 3, 2002 at 6 p.m.	Banque Nationale Stage	
Streetnix	Thursday July 4, 2002 at 12 p.m.	Terrasse Grand Marnier	
Streetnix	Thursday July 4, 2002 at 2 p.m.	Banque Nationale Stage	
Streetnix	Friday July 5, 2002 at 1 p.m.	Terrasse Grand Marnier	
Streetnix	Friday July 5, 2002 at 4 p.m.	La Louisiane / Radio-Canada Stage	
Streetnix	Saturday July 6, 2002 at 7 p.m.	Terrasse Grand Marnier	
Streetnix	Sunday July 7, 2002 at 7 p.m.	Terrasse Grand Marnier	
Streetnix	Tuesday July 1, 2003 at 4 p.m.	Du Maurier/Radio Canada Stage	Streetnix
Streetnix	Wednesday July 2, 2003 at 12 p.m.	Terrasse Grand Marnier	
Streetnix	Thursday July 3, 2003 at 5 p.m.	Scène Banque Nationale	
Streetnix	Thursday July 3, 2003 at 6:15 p.m.	Scène Banque Nationale	
Streetnix	Friday July 4, 2003 at 1 p.m.	Terrasse Grand Marnier	
Streetnix	Friday July 4, 2003 at 4 p.m.	Du Maurier/Radio Canada Stage	
Streetnix	Saturday July 5, 2003 at 7 p.m.	Terrasse Grand Marnier	
Streetnix	Sunday July 6, 2003 at 12 p.m.	Terrasse Grand Marnier	
Streetnix	Sunday July 6, 2003 at 2 p.m.	Scène Banque Nationale	
Streetnix	Wednesday June 30, 2004 at 4 p.m.	Bell Stage	Streetnix
Streetnix	Thursday July 1, 2004 at 12 p.m.	Terrasse Grand Marnier Stage	
Streetnix	Friday July 2, 2004 at 1 p.m.	Terrasse Grand Marnier Stage	
Streetnix	Friday July 2, 2004 at 4 p.m.	Bell Stage	
Streetnix	Saturday July 3, 2004 at 5 p.m.	Festival Stage	
Streetnix	Sunday July 4, 2004 at 12 p.m.	Terrasse Grand Marnier Stage	
Streetnix	Monday July 5, 2004 at 7 p.m.	Terrasse Grand Marnier Stage	
Streetnix	Saturday July 10, 2004 at 7 p.m.	Place des Nations	Vic Vogel Big Band et Streetnix
Streetnix	Sunday July 11, 2004 at 9 p.m.	General Motors Stage	Soleil de minuit
Streetnix	Wednesday July 6, 2005 at 5 p.m.	CBC Television Stage	Streetnix
Streetnix	Wednesday July 6, 2005 at 6:15 p.m.	CBC Television Stage	
Streetnix	Thursday July 7, 2005 at 7 p.m.	Terrasse Amarula Stage	
Streetnix	Friday July 8, 2005 at 1 p.m.	Terrasse Amarula Stage	
Streetnix	Saturday July 9, 2005 at 7 p.m.	Terrasse Amarula Stage	
Streetnix	Sunday July 10, 2005 at 4 p.m.	Bell-Samsung Stage	
Streetnix	Wednesday July 5, 2006 at 7 p.m.	Terrasse Amarula Stage	Streetnix
Streetnix	Thursday July 6, 2006 at 5 p.m.	Best Buy / CBC Stage	
Streetnix	Thursday July 6, 2006 at 6:15 p.m.	Best Buy / CBC Stage	
Streetnix	Friday July 7, 2006 at 12 p.m.	Terrasse Amarula Stage	
Streetnix	Saturday July 8, 2006 at 1 p.m.	Terrasse Amarula Stage	
Streetnix	Saturday July 8, 2006 at 4 p.m.	Alcan Stage	
Streetnix	Friday June 29, 2007 at 2 p.m.	Terrasse Amarula	Streetnix
Streetnix	Saturday June 30, 2007 at 4:45 p.m.	Scène CBC/Radio-Canada BEST BUY	
Streetnix	Saturday June 30, 2007 at 6 p.m.	Scène CBC/Radio-Canada BEST BUY	
Streetnix	Sunday July 1, 2007 at 4 p.m.	Scène Alcan	
Streetnix	Sunday July 1, 2007 at 6 p.m.	Terrasse Amarula	
Streetnix	Sunday July 1, 2007 at 7 p.m.	Terrasse Amarula	
Streetnix	Monday July 2, 2007 at 1 p.m.	Terrasse Amarula	
Streetnix	Saturday July 7, 2007 at 4:45 p.m.	Scène CBC/Radio-Canada BEST BUY	
Streetnix	Thursday June 26, 2008 at 4:45 p.m.	Scène CBC/Radio-Canada BEST BUY	Streetnix
Streetnix	Thursday June 26, 2008 at 6 p.m.	Scène CBC/Radio-Canada BEST BUY	
Streetnix	Friday June 27, 2008 at 2 p.m.	L'Espace du Festival	
Streetnix	Thursday July 3, 2008 at 7 p.m.	L'Espace du Festival	
Streetnix	Saturday July 5, 2008 at 1 p.m.	L'Espace du Festival	
Streetnix	Wednesday July 1, 2009 at 1 p.m.	Club Jazz TD Canada Trust 	Streetnix
Streetnix	Thursday July 2, 2009 at 3 p.m.	Club Jazz TD Canada Trust 	
Streetnix	Friday July 3, 2009 at 3 p.m.	Club Jazz TD Canada Trust 	
Streetnix	Saturday July 11, 2009 at 1 p.m.	Club Jazz TD Canada Trust 	
Streetnix	Sunday July 12, 2009 at 1 p.m.	Club Jazz TD Canada Trust 	
Streetnix	Wednesday June 30, 2010 at 12 p.m.	Scène CBC/Radio-Canada	Streetnix
Streetnix	Saturday June 25, 2011 at 5 p.m.	Place des Festivals	Swing Tonique Jazz Band vs Streetnix
Streetnix	Sunday June 26, 2011 at 5 p.m.	Place des Festivals	
Streetnix	Monday June 27, 2011 at 5 p.m.	Place des Festivals	
Streetnix	Tuesday June 28, 2011 at 5 p.m.	Place des Festivals	
Streetnix	Wednesday June 29, 2011 at 5 p.m.	Place des Festivals	
Strictly Taboo	Saturday June 28, 1986 at 8:30 p.m.	Air Canada Stage	Strictly Taboo
Strictly Taboo	Monday June 29, 1987 at 6 p.m.	Scène Yogourt Liberté	Strictly Taboo
Strictly Taboo	Friday July 1, 1988 at 4 p.m.	Chapiteau Yogourt	Strictly Taboo
String Connection	Wednesday July 6, 1983 at 8:30 p.m.	Terrasse des Retrouvailles	String Connection
String Connection	Thursday July 7, 1983 at 8:30 p.m.	Terrasse des Retrouvailles	
String Connection	Friday July 8, 1983 at 9 p.m.	Scène Carlsberg	
String Connection	Saturday July 9, 1983 at 9:30 p.m.	Spectrum de Montréal	Didier Lockwood / Christian Escoudé
String Quartet	Monday July 2, 2007 at 6 p.m.	Théâtre Maisonneuve - PdA	String Quartet, Didier Lockwood, Billy Cobham, Victor Bailey, Sylvain Luc
String Swing	Saturday July 11, 1998 at 12 p.m.	Carrefour Génération le Lait	String Swing 
St-Roch Big Band	Saturday July 7, 1984 at 12 p.m.	Théâtre de Verdure Parc Lafontaine	St-Roch Big Band
St-Roch Big Band	Sunday June 30, 1985 at 12 p.m.	Dans la ville	St-Roch Big Band
Strunz &amp; Farah	Saturday July 6, 1991 at 10 p.m.	Scène du Complexe Desjardins	Strunz &amp; Farah  
Strunz &amp; Farah	Sunday July 7, 1991 at 10 p.m.	Scène du Complexe Desjardins	
Strunz &amp; Farah	Tuesday July 5, 1994 at 9 p.m.	Scène du Maurier Ltée	Le Grand Événement du Maurier Ltée. La Nuit des Gitans
Strunz &amp; Farah	Monday June 30, 2008 at 7 p.m.	Club Soda	Strunz &amp; Farah
Studebaker John	Wednesday July 8, 1998 at 9 p.m.	Scène Labatt Blues 	Studebaker John &amp; The Hawks 
Studebaker John	Wednesday July 8, 1998 at 11:59 p.m.	Spectrum de Montréal 	
Studebaker John	Wednesday June 29, 2011 at 7 p.m.	Scène Loto-Québec	Studebaker John &amp; The Hawks
St-Ursule	Wednesday July 2, 1986 at 6:30 p.m.	Air Canada Stage	St-Ursule
Sue Foley	Sunday July 5, 1992 at 10 p.m.	Scène Labatt	Sue Foley
Sue Foley	Sunday July 5, 1992 at 11:59 p.m.	Spectrum de Montréal	
Sue Foley	Friday July 4, 2003 at 9 p.m.	Labatt Bleue Stage	Sue Foley
Sue Foley	Friday July 4, 2003 at 11:59 p.m.	Spectrum de Montréal	
Sue Foley	Thursday June 29, 2006 at 9 p.m.	Loto-Québec Stage	Sue Foley
Sue Foley	Thursday June 29, 2006 at 11 p.m.	Loto-Québec Stage	
Sugar Blue	Sunday July 5, 1987 at 10 p.m.	Scène Labatt Blues	Sugar Blue
Sugarman 3 &amp; Co	Thursday July 3, 2003 at 11 p.m.	General Motors Stage	Sugarman 3 &amp; Co
Sugarman 3 &amp; Co	Friday July 4, 2003 at 9 p.m.	General Motors Stage	
Suld	Friday July 1, 1988 at 10 p.m.	Scène Jazz Bud	Suld
Süld	Sunday June 28, 1987 at 9:30 p.m.	Scène Jazz Bud	Süld
Süld	Thursday July 5, 1990 at 12 p.m.	Sur la Place du Complexe Desjardins (intérieur)	Süld
Süld	Saturday July 7, 1990 at 10:30 p.m.	Scène du Complexe Desjardins	
Sultan Khan	Thursday June 30, 2005 at 7:30 p.m.	Monument National	Zakir Hussain et Sultan Khan "Musique Classique Indienne"
Sultan Khan	Friday July 1, 2005 at 7:30 p.m.	Monument National	Zakir Hussain, Selva Ganesh, Bhavani Shankar et Sultan Khan "Musique indienne contemporaine"
Sultan Khan	Sunday July 3, 2005 at 7:30 p.m.	Monument National	Zakir Hussain, Sultan Khan, Bhavani Shankar et John McLaughlin
Sunna Gunnlaugs	Friday June 28, 2002 at 6 p.m.	General Motors Stage	Sunna Gunnlaugs
Sunpie &amp; The Louisiana Sunspots	Saturday July 6, 2002 at 8 p.m.	La Louisiane / Radio-Canada Stage	Sunpie &amp; the Louisiana Sunspots
Sunpie &amp; The Louisiana Sunspots	Saturday July 6, 2002 at 10 p.m.	La Louisiane / Radio-Canada Stage	
Sunpie &amp; The Louisiana Sunspots	Sunday July 7, 2002 at 8 p.m.	La Louisiane / Radio-Canada Stage	
Sunpie &amp; The Louisiana Sunspots	Sunday July 7, 2002 at 10 p.m.	La Louisiane / Radio-Canada Stage	
Super Rail Band	Sunday July 8, 1990 at 8:30 p.m.	Théâtre Alcan	Super Rail Band de Bamako
Super Rail Band	Saturday July 7, 2001 at 7:30 p.m.	Labatt Bleue Légère Stage	Super Rail Band
Super Sax du Cégep de Saint-Laurent	Sunday June 29, 2008 at 12 p.m.	Scène General Motors	Super Sax du Cégep de Saint-Laurent
Surferigno	Monday June 30, 2008 at 6:30 p.m.	Carrefour General Motors	Surferigno
Susan Georgette	Wednesday July 5, 1995 at 7 p.m.	Terrasse Nescafé	Susan Georgette Quartet
Susan Tedeschi	Tuesday July 7, 1998 at 9 p.m.	Scène Labatt Blues 	Susan Tedeschi 
Susan Tedeschi	Tuesday July 7, 1998 at 11:59 p.m.	Spectrum de Montréal 	
Susan Tedeschi	Thursday July 2, 2009 at 8:30 p.m.	Métropolis 	Buddy Guy / Susan Tedeschi 
Susana Baca	Saturday April 24, 2010 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	Susana Baca
Susanna and the Magical Orchestra	Monday June 28, 2010 at 9 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	Susanna and her Magical Orchestra
Susanne Abbuehl	Sunday June 30, 2002 at 7 p.m.	Club Soda	Susanne Abbuehl
Susi Hyldgaard	Sunday July 1, 2001 at 5:30 p.m.	Banque Nationale Stage	Susi Hyldgaard
Susi Hyldgaard	Monday July 2, 2001 at 5:30 p.m.	Banque Nationale Stage	
Susi Hyldgaard	Monday July 3, 2006 at 8 p.m.	Alcan Stage	Susi Hyldgaard
Susi Hyldgaard	Monday July 3, 2006 at 10 p.m.	Alcan Stage	
Susie Arioli	Friday December 9, 2011 at 8 p.m.	1600 rue St-Urbain	Susie Arioli Christmas Dreaming
Susie Arioli	Friday July 3, 1998 at 10 p.m.	Terrasse Nescafé 	Susie Arioli Swing Band
Susie Arioli	Sunday July 5, 1998 at 8:30 p.m.	Salle Wilfrid-Pelletier - PdA	Ray Charles and Orchestra
Susie Arioli	Wednesday July 7, 1999 at 9 p.m.	Studio Musimax 	Susie Arioli Swing Band / Laura Love
Susie Arioli	Saturday July 10, 1999 at 10 p.m.	Scène Air Transat  - Radio-Canada 	Susie Arioli Swing Band 
Susie Arioli	Thursday July 6, 2000 at 7 p.m.	Salle du Gesù 	Susie Arioli Swing Band 
Susie Arioli	Sunday February 4, 2001 at 8 p.m.	Spectrum de Montréal	Susie Arioli Swing Band 
Susie Arioli	Friday April 12, 2002 at 8 p.m.	Spectrum de Montréal	Susie Arioli Swing Band - Sylvain Provost/Norman Lachapelle
Susie Arioli	Sunday June 30, 2002 at 6 p.m.	Spectrum de Montréal	Susie Arioli Swing Band
Susie Arioli	Thursday July 1, 2004 at 9 p.m.	General Motors Stage	Susie Arioli 
Susie Arioli	Thursday July 1, 2004 at 11 p.m.	General Motors Stage	
Susie Arioli	Wednesday July 6, 2005 at 8 p.m.	Cabaret Music-Hall	Susie Arioli Band featuring Jordan Officer
Susie Arioli	Thursday July 7, 2005 at 8 p.m.	Cabaret Music-Hall	
Susie Arioli	Thursday June 29, 2006 at 10 p.m.	Spectrum de Montréal	Susie Arioli 
Susie Arioli	Saturday July 7, 2007 at 8 p.m.	Salle Wilfrid-Pelletier - PdA	Oliver Jones/ Susie Arioli Avec I Musici
Susie Arioli	Wednesday November 26, 2008 at 8 p.m.	Théâtre Outremont	Susie Arioli
Susie Arioli	Thursday November 27, 2008 at 8 p.m.	Théâtre Outremont	
Susie Arioli	Saturday July 4, 2009 at 6 p.m.	Théâtre Maisonneuve - PdA 	Susie Arioli
Susie Arioli	Thursday November 12, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	
Susie Arioli	Friday November 13, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	
Susie Arioli	Saturday May 22, 2010 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	The Stephen Barry Band, <i>35th Anniversary Concert </i>with special guests Susie Arioli and Jordan
Susie Arioli	Friday December 10, 2010 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	Susie Arioli, <em>Christmas Dreaming</em>
Susie Arioli	Saturday December 11, 2010 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	
Susie Arioli	Saturday July 2, 2011 at 9 p.m.	Scène TD de la place des Festivals 	Susie Arioli
Susie Arioli	Saturday July 2, 2011 at 11 p.m.	Scène TD de la place des Festivals 	
Suzanne Vega	Saturday November 7, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	Suzanne Vega
Suzanne Vega	Sunday November 8, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	
Suzie Vinnick	Monday June 30, 1997 at 7 p.m.	Scène Labatt Blues	Suzie Vinnick 
Suzie Vinnick	Monday June 30, 1997 at 11 p.m.	Scène Labatt Blues	
Swayzak Soundsystem	Wednesday July 4, 2007 at 11 p.m.	Club Soda	Swayzak Soundsystem (Brun &amp; Roger 23)
Sweatshop Tango	Tuesday July 3, 2007 at 11 p.m.	Scène CBC/Radio-Canada BEST BUY	Sweatshop Tango
Sweet And Lowdown	Friday June 29, 2007 at 6 p.m.	Cinémathèque québécoise - Salle Claude-Jutra	Django Reinhardt - Sweet And Lowdown
Sweet Dixie	Friday July 1, 1983 at 3 p.m.	Scène Émery	Sweet Dixie
Sweet Dixie	Saturday June 29, 1985 at 12 p.m.	Dans la ville	Sweet Dixie
Sweet Dixie	Friday July 4, 1986 at 12 p.m.	Complexe Desjardins	Sweet Dixie
Sweet Dixie	Friday June 26, 1987 at 5 p.m.	Jardins de la Place des Arts	Sweet Dixie
Sweet Dixie	Sunday June 28, 1987 at 12 p.m.	Jardins de la Place des Arts	
Sweet Dixie	Tuesday June 30, 1987 at 5 p.m.	Jardins de la Place des Arts	
Sweet Dixie	Thursday July 2, 1987 at 12 p.m.	Jardins de la Place des Arts	
Sweet Dixie	Saturday July 2, 1988 at 5 p.m.	Café terrasse Brioche Dorée	Sweet Dixie
Sweet Dixie	Monday July 4, 1988 at 12 p.m.	Jardins de la Place des Arts	
Sweet Dixie	Wednesday July 6, 1988 at 3 p.m.	Jardins de la Place des Arts	
Sweet Dixie	Thursday July 7, 1988 at 5 p.m.	Café terrasse Brioche Dorée	
Sweet Dixie	Saturday July 9, 1988 at 12 p.m.	Jardins de la Place des Arts	
Sweet Dixie	Sunday July 1, 1990 at 5 p.m.	Café-terrasse MAX 	Sweet Dixie
Sweet Dixie	Tuesday July 3, 1990 at 1 p.m.	Café-terrasse MAX 	
Sweet Dixie	Thursday July 5, 1990 at 12 p.m.	Café-terrasse MAX 	
Sweet Dixie	Saturday July 7, 1990 at 5 p.m.	Café-terrasse MAX 	
Sweet Dixie	Sunday July 8, 1990 at 12 p.m.	Café-terrasse MAX 	
Sweet Dixie	Friday June 28, 1991 at 5 p.m.	Café-terrasse MAX Jardin de la Place des Arts	Sweet Dixie
Sweet Dixie	Sunday June 30, 1991 at 1 p.m.	Café-terrasse MAX Jardin de la Place des Arts	
Sweet Dixie	Monday July 1, 1991 at 12 p.m.	Café-terrasse MAX Jardin de la Place des Arts	
Sweet Dixie	Tuesday July 2, 1991 at 12 p.m.	Maison Ultramar	
Sweet Dixie	Wednesday July 3, 1991 at 12 p.m.	Café-terrasse MAX Jardin de la Place des Arts	
Sweet Dixie	Saturday July 6, 1991 at 5 p.m.	Café-terrasse MAX Jardin de la Place des Arts	
Sweet Dixie	Sunday July 7, 1991 at 1 p.m.	Café-terrasse MAX Jardin de la Place des Arts	
Sweet Dixie	Wednesday July 1, 1992 at 12 p.m.	Terrasse Le Lait 	Sweet Dixie
Sweet Dixie	Wednesday July 1, 1992 at 3 p.m.	Terrasse Canadien International	
Sweet Dixie	Thursday July 2, 1992 at 7 p.m.	Terrasse Canadien International	
Sweet Dixie	Friday July 3, 1992 at 1 p.m.	Terrasse Le Lait 	
Sweet Dixie	Saturday July 4, 1992 at 2 p.m.	Place d'animation Alcan 	
Sweet Dixie	Sunday July 5, 1992 at 5 p.m.	Terrasse Le Lait 	
Sweet Dixie	Monday July 6, 1992 at 7 p.m.	Terrasse Canadien International	
Sweet Dixie	Tuesday July 7, 1992 at 5 p.m.	Terrasse Le Lait 	
Sweet Dixie	Wednesday July 8, 1992 at 12 p.m.	Maison Ultramar 	
Sweet Dixie	Wednesday July 8, 1992 at 2 p.m.	Place d'animation Alcan 	
Sweet Dixie	Thursday July 9, 1992 at 1 p.m.	Terrasse Le Lait 	
Sweet Dixie	Friday July 10, 1992 at 12 p.m.	Maison Ultramar 	
Sweet Dixie	Friday July 10, 1992 at 2 p.m.	Place d'animation Alcan 	
Sweet Dixie	Saturday July 11, 1992 at 12 p.m.	Terrasse Le Lait 	
Sweet Dixie	Saturday July 11, 1992 at 3 p.m.	Terrasse Canadien International	
Sweet Dixie	Sunday July 12, 1992 at 5 p.m.	Terrasse Le Lait 	
Sweet Dixie	Thursday July 1, 1993 at 1 p.m.	Terrasse Le Lait	Streetnix 
Sweet Dixie	Thursday July 1, 1993 at 2 p.m.	Place du Maurier Ltée	Sweet Dixie
Sweet Dixie	Thursday July 1, 1993 at 3 p.m.	Terrasse Air Canada	Streetnix 
Sweet Dixie	Thursday July 1, 1993 at 5 p.m.	Terrasse Le Lait	Sweet Dixie
Sweet Dixie	Friday July 2, 1993 at 12 p.m.	Terrasse Le Lait	
Sweet Dixie	Friday July 2, 1993 at 7 p.m.	Terrasse Air Canada	Streetnix 
Sweet Dixie	Saturday July 3, 1993 at 5 p.m.	Terrasse Air Canada	
Sweet Dixie	Saturday July 3, 1993 at 7 p.m.	Terrasse Air Canada	Sweet Dixie
Sweet Dixie	Sunday July 4, 1993 at 12 p.m.	Terrasse Air Canada	
Sweet Dixie	Sunday July 4, 1993 at 2 p.m.	Place du Maurier Ltée	
Sweet Dixie	Sunday July 4, 1993 at 5 p.m.	Terrasse Le Lait	Streetnix 
Sweet Dixie	Monday July 5, 1993 at 1 p.m.	Terrasse Le Lait	Sweet Dixie
Sweet Dixie	Monday July 5, 1993 at 3 p.m.	Terrasse Air Canada	
Sweet Dixie	Monday July 5, 1993 at 5 p.m.	Terrasse Air Canada	Streetnix 
Sweet Dixie	Tuesday July 6, 1993 at 12 p.m.	Terrasse Le Lait	
Sweet Dixie	Tuesday July 6, 1993 at 5 p.m.	Terrasse Le Lait	Sweet Dixie
Sweet Dixie	Wednesday July 7, 1993 at 1 p.m.	Terrasse Le Lait	Streetnix 
Sweet Dixie	Wednesday July 7, 1993 at 3 p.m.	Terrasse Air Canada	
Sweet Dixie	Wednesday July 7, 1993 at 7 p.m.	Terrasse Air Canada	Sweet Dixie
Sweet Dixie	Thursday July 8, 1993 at 12 p.m.	Terrasse Air Canada	Streetnix 
Sweet Dixie	Thursday July 8, 1993 at 12 p.m.	Terrasse Le Lait	Sweet Dixie
Sweet Dixie	Thursday July 8, 1993 at 2 p.m.	Place du Maurier Ltée	Streetnix 
Sweet Dixie	Friday July 9, 1993 at 12 p.m.	Terrasse Air Canada	
Sweet Dixie	Friday July 9, 1993 at 1 p.m.	Terrasse Le Lait	Sweet Dixie
Sweet Dixie	Friday July 9, 1993 at 2 p.m.	Place du Maurier Ltée	Streetnix 
Sweet Dixie	Friday July 9, 1993 at 3 p.m.	Terrasse Air Canada	Sweet Dixie
Sweet Dixie	Saturday July 10, 1993 at 12 p.m.	Terrasse Air Canada	
Sweet Dixie	Saturday July 10, 1993 at 7 p.m.	Terrasse Air Canada	Streetnix 
Sweet Dixie	Sunday July 11, 1993 at 5 p.m.	Terrasse Le Lait	
Sweet Dixie	Sunday July 11, 1993 at 5 p.m.	Terrasse Air Canada	Sweet Dixie
Sweet Dixie	Thursday June 30, 1994 at 5 p.m.	Terrasse Sun Chip 	Sweet Dixie 
Sweet Dixie	Friday July 1, 1994 at 12 p.m.	Terrasse Sun Chip 	
Sweet Dixie	Saturday July 2, 1994 at 11:30 p.m.	Place du Festival 	
Sweet Dixie	Sunday July 3, 1994 at 2 p.m.	Place du Festival 	
Sweet Dixie	Monday July 4, 1994 at 1 p.m.	Terrasse Sun Chip 	
Sweet Dixie	Monday July 4, 1994 at 3 p.m.	Terrasse Air Canada	
Sweet Dixie	Tuesday July 5, 1994 at 5 p.m.	Terrasse Sun Chip 	
Sweet Dixie	Wednesday July 6, 1994 at 11:30 p.m.	Place du Festival 	
Sweet Dixie	Thursday July 7, 1994 at 12 p.m.	Terrasse Sun Chip 	
Sweet Dixie	Friday July 8, 1994 at 1 p.m.	Terrasse Sun Chip 	
Sweet Dixie	Friday July 8, 1994 at 3 p.m.	Terrasse Air Canada	
Sweet Dixie	Saturday July 9, 1994 at 2 p.m.	Place du Festival 	
Sweet Dixie	Sunday July 10, 1994 at 11:30 p.m.	Place du Festival 	
Sweet Dixie	Tuesday July 4, 1995 at 5 p.m.	Terrasse Air Canada	Sweet Dixie
Sweet Dixie	Wednesday July 5, 1995 at 2 p.m.	Terrasse Nescafé	
Sweet Dixie	Thursday July 6, 1995 at 1 p.m.	Terrasse Sun Chips	
Sweet Dixie	Thursday July 6, 1995 at 3 p.m.	Terrasse Air Canada	
Sweet Dixie	Friday July 7, 1995 at 11:59 p.m.	Terrasse Nescafé	
Sweet Dixie	Saturday July 8, 1995 at 11:59 p.m.	Terrasse Nescafé	
Sweet Dixie	Sunday July 9, 1995 at 5 p.m.	Terrasse Sun Chips	
Sweet Dixie	Thursday July 4, 1996 at 10 p.m.	Place du Festival	Sweet Dixie
Sweet Dixie	Thursday July 4, 1996 at 11:59 p.m.	Terrasse Nescafé	
Sweet Dixie	Friday July 5, 1996 at 1 p.m.	Terrasse Salute Italia	
Sweet Dixie	Friday July 5, 1996 at 3 p.m.	Terrasse Air Canada	
Sweet Dixie	Friday July 5, 1996 at 10 p.m.	Place du Festival	
Sweet Dixie	Saturday July 6, 1996 at 12 p.m.	Terrasse Salute Italia	
Sweet Dixie	Sunday July 7, 1996 at 8 p.m.	Place du Festival	
Sweet Dixie	Sunday July 7, 1996 at 10 p.m.	Terrasse Nescafé	
Sweet Dixie	Wednesday July 2, 1997 at 1 p.m.	Terrasse Nescafe	Sweet Dixie 
Sweet Dixie	Wednesday July 2, 1997 at 3 p.m.	Terrasse de l'Esplanade	
Sweet Dixie	Thursday July 3, 1997 at 2 p.m.	Terrasse Nescafe	
Sweet Dixie	Friday July 4, 1997 at 5 p.m.	Terrasse de l'Esplanade	
Sweet Dixie	Saturday July 5, 1997 at 5 p.m.	Terrasse SAQ Sélection	
Sweet Dixie	Sunday July 6, 1997 at 10 p.m.	Place du Festival	
Sweet Dixie	Sunday July 6, 1997 at 11:59 p.m.	Terrasse Nescafe	
Sweet Dixie	Tuesday July 7, 1998 at 5 p.m.	Terrasse du Casino de Montréal 	Sweet Dixie 
Sweet Dixie	Wednesday July 8, 1998 at 5 p.m.	Terrasse SAQ Sélection 	
Sweet Dixie	Thursday July 9, 1998 at 12 p.m.	Terrasse SAQ Sélection 	
Sweet Dixie	Thursday July 9, 1998 at 2 p.m.	Terrasse Nescafé 	
Sweet Dixie	Saturday July 11, 1998 at 8 p.m.	Scène Tropicana / Radio-Canada	
Sweet Dixie	Saturday July 11, 1998 at 10 p.m.	Scène Tropicana / Radio-Canada	
Sweet Dixie	Thursday July 1, 1999 at 1 p.m.	Chapiteau du Casino de Montréal	Sweet Dixie 
Sweet Dixie	Thursday July 1, 1999 at 3 p.m.	Terrasse Grand Marnier 	
Sweet Dixie	Friday July 2, 1999 at 1 p.m.	Terrasse Grand Marnier 	
Sweet Dixie	Friday July 2, 1999 at 5 p.m.	Chapiteau du Casino de Montréal	
Sweet Dixie	Saturday July 3, 1999 at 2 p.m.	Scène Air Transat  - Radio-Canada 	
Sweet Dixie	Saturday July 3, 1999 at 5 p.m.	Terrasse Grand Marnier 	
Sweet Dixie	Sunday July 4, 1999 at 12 p.m.	Terrasse Grand Marnier 	
Sweet Dixie	Sunday July 4, 1999 at 3 p.m.	Chapiteau du Casino de Montréal	
Sweet Dixie	Monday July 5, 1999 at 1 p.m.	Chapiteau du Casino de Montréal	
